Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-02-27,17:00,J1 League,Matchweek 1,Sat,Away,L,0,1,Vissel Kobe,43,4636,Genta Miura,4-3-3,Ryūji Satō,Match Report,
2021-04-03,14:00,J1 League,Matchweek 7,Sat,Away,D,0,0,Sanfrecce,50,8665,Genta Miura,4-3-3,Ryūji Satō,Match Report,
2021-04-07,19:00,J1 League,Matchweek 8,Wed,Home,D,0,0,Avispa Fukuoka,65,5604,Genta Miura,4-2-3-1,Akihiko Ikeuchi,Match Report,
2021-04-11,17:00,J1 League,Matchweek 9,Sun,Away,L,0,1,Kashiwa Reysol,46,5555,Genta Miura,4-4-2,Koei Koya,Match Report,
2021-04-14,19:00,J1 League,Matchweek 18,Wed,Away,W,1,0,Sagan Tosu,51,4512,Genta Miura,4-4-2,Hayato Shimizu,Match Report,
2021-04-18,17:00,J1 League,Matchweek 10,Sun,Home,D,0,0,S-Pulse,54,4819,Genta Miura,4-4-2,Nobutsugu Murakami,Match Report,
2021-04-22,19:30,J1 League,Matchweek 11,Thu,Away,L,0,2,Grampus,62,7463,Genta Miura,4-4-2,Hiroki Kasahara,Match Report,
2021-05-02,15:00,J1 League,Matchweek 12,Sun,Away,D,1,1,Cerezo Osaka,53,,Genta Miura,4-2-3-1,Yoshiro Imamura,Match Report,
2021-05-08,18:00,J1 League,Matchweek 13,Sat,Home,L,0,2,Kawa Frontale,34,,Genta Miura,4-3-3,Ryo Tanimoto,Match Report,
2021-05-12,18:00,J1 League,Matchweek 20,Wed,Home,L,1,2,Sanfrecce,64,,Genta Miura,4-4-2,Yuichi Nishimura,Match Report,
2021-05-16,17:00,J1 League,Matchweek 14,Sun,Home,L,0,3,Urawa Reds,58,,Genta Miura,4-3-3,Hiroki Kasahara,Match Report,
2021-05-22,19:00,J1 League,Matchweek 15,Sat,Away,L,0,1,FC Tokyo,52,4886,Genta Miura,4-3-3,Koichiro Fukushima,Match Report,
2021-05-27,19:00,J1 League,Matchweek 16,Thu,Home,W,2,1,Vortis,31,,Genta Miura,3-4-3,Jumpei Iida,Match Report,
2021-05-30,17:00,J1 League,Matchweek 17,Sun,Home,W,2,0,Yokohama FC,45,,Gen Shoji,3-4-3,Takuto Okabe,Match Report,
2021-06-02,19:00,J1 League,Matchweek 19,Wed,Away,D,0,0,Shonan Bellmare,47,4610,Genta Miura,3-4-3,Akihiko Ikeuchi,Match Report,
2021-07-17,18:30,J1 League,Matchweek 21,Sat,Away,,,,Avispa Fukuoka,,,,,,Head-to-Head,
2021-07-21,19:00,J1 League,Matchweek 22,Wed,Home,,,,Vissel Kobe,,,,,,Head-to-Head,
2021-07-24,19:00,J1 League,Matchweek 2,Sat,Home,,,,Kashima Antlers,,,,,,Head-to-Head,
2021-07-27,19:00,J1 League,Matchweek 3,Tue,Home,,,,Oita Trinita,,,,,,Head-to-Head,
2021-07-30,18:00,J1 League,Matchweek 4,Fri,Away,,,,Consa Sapporo,,,,,,Head-to-Head,
2021-08-03,19:00,J1 League,Matchweek 5,Tue,Away,,,,Vegalta Sendai,,,,,,Head-to-Head,
2021-08-06,19:00,J1 League,Matchweek 6,Fri,Home,,,,Marinos,,,,,,Head-to-Head,
2021-08-09,19:00,J1 League,Matchweek 23,Mon,Away,,,,Vortis,,,,,,Head-to-Head,
2021-08-13,19:00,J1 League,Matchweek 24,Fri,Away,,,,S-Pulse,,,,,,Head-to-Head,
2021-08-21,19:00,J1 League,Matchweek 25,Sat,Home,,,,FC Tokyo,,,,,,Head-to-Head,
2021-08-25,19:00,J1 League,Matchweek 26,Wed,Away,,,,Yokohama FC,,,,,,Head-to-Head,
2021-08-28,19:00,J1 League,Matchweek 27,Sat,Home,,,,Cerezo Osaka,,,,,,Head-to-Head,
2021-09-11,,J1 League,Matchweek 28,Sat,Home,,,,Vegalta Sendai,,,,,,Head-to-Head,
2021-09-18,,J1 League,Matchweek 29,Sat,Away,,,,Kashima Antlers,,,,,,Head-to-Head,
2021-09-25,,J1 League,Matchweek 30,Sat,Home,,,,Kashiwa Reysol,,,,,,Head-to-Head,
2021-10-02,,J1 League,Matchweek 31,Sat,Home,,,,Consa Sapporo,,,,,,Head-to-Head,
2021-10-16,,J1 League,Matchweek 32,Sat,Away,,,,Urawa Reds,,,,,,Head-to-Head,
2021-10-23,,J1 League,Matchweek 33,Sat,Home,,,,Sagan Tosu,,,,,,Head-to-Head,
2021-10-30,,J1 League,Matchweek 34,Sat,Away,,,,Oita Trinita,,,,,,Head-to-Head,
2021-11-06,,J1 League,Matchweek 35,Sat,Away,,,,Marinos,,,,,,Head-to-Head,
2021-11-20,,J1 League,Matchweek 36,Sat,Home,,,,Grampus,,,,,,Head-to-Head,
2021-11-27,,J1 League,Matchweek 37,Sat,Away,,,,Kawa Frontale,,,,,,Head-to-Head,
2021-12-04,,J1 League,Matchweek 38,Sat,Home,,,,Shonan Bellmare,,,,,,Head-to-Head,