Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Kawa Frontale,22,18,4,0,53,15,+38,58,W D W W W,6109,Leandro Damião - 12,Jung Sung-ryong,
2,Marinos,20,14,4,2,39,16,+23,46,W W W W W,6319,Ado Onaiwu - 12,Yohei Takaoka,
3,Vissel Kobe,22,11,8,3,35,21,+14,41,W W W D W,5273,Kyogo Furuhashi - 15,Daiya Maekawa,
4,Sagan Tosu,22,10,8,4,30,15,+15,38,D L D W D,6924,Keita Yamashita - 8,Park Iru-gyu,
5,Grampus,21,11,4,6,23,16,+7,37,W D L D L,8277,Mateus - 6,Mitchell Langerak,
6,Kashima Antlers,22,10,5,7,35,23,+12,35,D D W L W,7772,Ayase Ueda Ryotaro Araki - 6,Yuya Oki,
7,Urawa Reds,22,10,5,7,26,23,+3,35,L W W D L,5985,Kasper Junker - 7,Shusaku Nishikawa,
8,FC Tokyo,22,10,5,7,31,30,+1,35,W W W W D,5585,Diego Oliveira - 9,Go Hatano,
9,Sanfrecce,22,7,9,6,24,22,+2,30,D D W D L,5575,Yuya Asano Júnior Santos - 4,Keisuke Ōsako,
10,Consa Sapporo,20,8,5,7,27,26,+1,29,W W L W D,6687,Anderson Lopes - 12,Takanori Sugeno,
11,Avispa Fukuoka,22,8,5,9,23,27,-4,29,L L L L L,5053,Bruno Mendes - 4,Masaaki Murakami,
12,Cerezo Osaka,21,6,8,7,29,27,+2,26,L D D D D,3932,Yoshito Ōkubo Kato Mutsuki... - 5,Kim Jin-hyeon,
13,S-Pulse,22,5,8,9,22,30,-8,23,W D W D L,7488,Thiago Santana - 7,Shūichi Gonda,
14,Shonan Bellmare,22,4,9,9,21,28,-7,21,D W L L L,4583,Wellington Naoki Yamada - 4,Kosei Tani,
15,Kashiwa Reysol,22,6,2,14,22,32,-10,20,L L W L W,4004,Hiroto Goya - 4,Kim Seung-gyu,
16,Vortis,22,5,5,12,18,28,-10,20,D L L L D,5064,Taisei Miyashiro - 5,Naoto Kamifukumoto,
17,Gamba Osaka,18,4,5,9,9,17,-8,17,W D W L L,1923,Patric - 4,Masaaki Higashiguchi,
18,Vegalta Sendai,21,3,8,10,18,35,-17,17,D D L D D,6309,Takuma Nishimura - 4,Jakub Słowik,
19,Oita Trinita,21,4,4,13,13,30,-17,16,L D L L W,6291,Yamato Machida - 5,William Popp,
20,Yokohama FC,22,2,5,15,14,51,-37,11,L L L D W,3825,Kléber - 3,Yuji Rokutan,