,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
105,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Mainz 05,13.1,0,0.5,-0.5,5,461,548,84.1,7,12,58.3,325,368,88.3,129,168,76.8,48,467,10,0,1,0,44,3,1,Matches
106,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,7.5,0,0.0,0.0,1,185,226,81.9,3,8,37.5,146,172,84.9,36,46,78.3,27,180,1,0,0,0,10,1,1,Matches
107,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,5.7,1,0.2,+0.8,7,116,198,58.6,6,20,30.0,95,140,67.9,15,38,39.5,55,88,1,1,0,1,14,5,1,Matches
108,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,6.1,0,1.2,-1.2,9,83,141,58.9,7,16,43.8,68,103,66.0,8,22,36.4,24,85,0,0,0,3,4,4,0,Matches
109,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,9.0,0,0.0,0.0,0,261,384,68.0,0,1,0.0,114,115,99.1,147,268,54.9,78,252,20,0,0,0,8,0,0,Matches
110,Emil Forsberg\Emil-Forsberg,se SWE,MF,RB Leipzig,7.8,2,2.1,-0.1,19,263,334,78.7,11,26,42.3,209,240,87.1,43,68,63.2,39,277,5,3,15,2,24,6,1,Matches
111,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,3.8,0,0.0,0.0,0,97,152,63.8,2,10,20.0,77,105,73.3,18,37,48.6,5,99,2,0,0,45,12,1,1,Matches
112,Mike Frantz\Mike-Frantz,de GER,FWMF,Freiburg,2.7,1,0.6,+0.4,6,59,80,73.8,2,3,66.7,43,52,82.7,14,25,56.0,9,55,3,0,0,5,6,1,1,Matches
113,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,12.2,1,0.5,+0.5,7,457,573,79.8,3,19,15.8,344,384,89.6,110,170,64.7,350,120,18,2,0,87,29,10,4,Matches
114,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,16.0,0,0.0,0.0,0,442,571,77.4,2,9,22.2,264,294,89.8,176,268,65.7,71,443,24,1,0,1,49,2,0,Matches
115,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,3.2,1,0.9,+0.1,4,60,81,74.1,2,6,33.3,51,63,81.0,7,12,58.3,14,46,0,1,0,1,2,6,1,Matches
116,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,4.4,0,0.3,-0.3,4,102,141,72.3,2,12,16.7,78,97,80.4,22,32,68.8,32,92,0,1,0,8,11,1,0,Matches
117,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DFMF,Werder Bremen,14.5,0,0.5,-0.5,6,652,753,86.6,9,18,50.0,501,556,90.1,142,179,79.3,39,571,15,0,0,99,53,6,0,Matches
118,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,9.7,3,1.5,+1.5,20,382,455,84.0,7,16,43.8,281,312,90.1,94,127,74.0,35,396,20,1,28,4,29,7,0,Matches
119,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,14.4,1,1.1,-0.1,12,412,553,74.5,9,35,25.7,330,402,82.1,73,116,62.9,81,392,12,0,1,3,54,14,4,Matches
120,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,4.6,0,0.1,-0.1,3,138,181,76.2,4,8,50.0,109,134,81.3,25,39,64.1,128,32,2,0,2,4,15,1,0,Matches
121,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,15.0,1,1.4,-0.4,20,496,687,72.2,2,21,9.5,337,408,82.6,157,258,60.9,481,42,38,1,20,118,44,25,12,Matches
122,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,17.0,0,0.1,-0.1,1,498,728,68.4,1,1,100.0,151,154,98.1,346,573,60.4,85,532,79,0,0,0,41,0,0,Matches
123,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,0.2,0,0.0,0.0,0,3,8,37.5,1,1,100.0,2,6,33.3,0,1,0.0,0,6,0,0,0,0,0,0,0,Matches
124,Matthias Ginter\Matthias-Ginter,de GER,DFMF,M'gladbach,13.9,0,0.2,-0.2,1,743,868,85.6,3,7,42.9,495,529,93.6,245,332,73.8,117,696,27,2,0,4,46,3,0,Matches
125,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,14.6,1,0.7,+0.3,16,523,661,79.1,4,19,21.1,359,431,83.3,160,211,75.8,209,408,5,1,0,0,64,1,0,Matches
126,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,12.8,6,5.1,+0.9,23,475,606,78.4,2,25,8.0,421,495,85.1,52,86,60.5,143,423,2,3,1,23,20,23,3,Matches
127,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,1.3,0,0.3,-0.3,3,28,43,65.1,0,4,0.0,23,30,76.7,5,9,55.6,13,24,2,0,0,3,0,1,1,Matches
128,Benjamin Goller\Benjamin-Goller,de GER,MF,Werder Bremen,3.0,0,0.1,-0.1,2,55,83,66.3,3,10,30.0,49,62,79.0,3,11,27.3,6,69,0,0,0,1,3,0,0,Matches
129,Jérôme Gondorf\Jerome-Gondorf,de GER,MF,Freiburg,1.4,0,0.0,0.0,1,30,39,76.9,0,0,,24,31,77.4,6,8,75.0,12,21,2,0,0,0,2,3,0,Matches
130,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,4.1,1,0.7,+0.3,5,177,203,87.2,2,9,22.2,146,159,91.8,29,35,82.9,12,181,1,0,0,1,18,5,0,Matches
131,Mario Götze\Mario-Gotze,de GER,MF,Dortmund,5.4,0,1.5,-1.5,12,213,249,85.5,12,17,70.6,191,215,88.8,10,17,58.8,24,214,0,3,0,4,11,5,1,Matches
132,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,6.1,0,0.0,0.0,0,169,222,76.1,0,3,0.0,110,122,90.2,59,97,60.8,16,193,17,2,0,0,10,1,0,Matches
133,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FW,Augsburg,3.4,0,0.3,-0.3,6,65,97,67.0,3,5,60.0,54,70,77.1,8,22,36.4,63,21,2,0,0,0,4,3,0,Matches
134,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Hoffenheim,0.2,0,0.0,0.0,0,11,13,84.6,1,1,100.0,7,7,100.0,3,5,60.0,0,12,2,1,1,0,1,0,0,Matches
135,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Freiburg,5.2,1,1.1,-0.1,10,159,232,68.5,6,15,40.0,117,139,84.2,36,78,46.2,20,199,10,2,19,6,10,7,2,Matches
136,Florian Grillitsch\Florian-Grillitsch,at AUT,MF,Hoffenheim,13.4,3,2.1,+0.9,13,778,881,88.3,10,18,55.6,535,577,92.7,233,286,81.5,87,740,44,6,0,4,47,14,2,Matches
137,Christian Groß\Christian-Gross,de GER,MF,Werder Bremen,8.0,0,0.1,-0.1,1,345,386,89.4,3,6,50.0,226,245,92.2,116,135,85.9,61,307,8,0,0,1,25,0,0,Matches
138,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,1.8,0,0.0,0.0,0,37,48,77.1,0,1,0.0,24,26,92.3,13,21,61.9,3,42,1,0,0,0,7,0,0,Matches
139,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,14.3,1,0.4,+0.6,7,468,569,82.2,6,20,30.0,372,430,86.5,90,119,75.6,73,428,10,1,0,0,45,5,0,Matches
140,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DFMF,Dortmund,9.8,1,0.8,+0.2,11,673,785,85.7,26,40,65.0,565,614,92.0,82,131,62.6,659,30,19,0,15,63,39,16,6,Matches
141,Babacar Guèye\Babacar-Gueye,sn SEN,FW,Paderborn 07,1.2,0,0.1,-0.1,2,22,26,84.6,1,3,33.3,20,21,95.2,1,2,50.0,6,18,0,0,0,0,0,0,0,Matches
142,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MF,Wolfsburg,17.0,1,0.4,+0.6,4,579,711,81.4,6,19,31.6,379,440,86.1,194,252,77.0,69,558,9,1,0,2,51,9,0,Matches
143,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,16.0,0,0.7,-0.7,1,457,580,78.8,3,3,100.0,272,273,99.6,182,304,59.9,57,422,29,0,0,1,3,0,0,Matches
144,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,4.8,0,0.0,0.0,2,157,197,79.7,2,5,40.0,104,117,88.9,51,75,68.0,24,153,12,1,0,3,18,4,1,Matches
145,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,17.0,5,4.2,+0.8,40,544,778,69.9,4,32,12.5,399,477,83.6,141,269,52.4,541,58,38,0,39,164,27,25,17,Matches
146,Jonathan de Guzmán\Jonathan-de-Guzman,nl NED,MF,Eint Frankfurt,0.1,0,0.0,0.0,0,16,21,76.2,2,3,66.7,11,11,100.0,3,7,42.9,2,17,1,0,0,0,1,1,0,Matches
147,Janik Haberer\Janik-Haberer,de GER,FWMF,Freiburg,13.0,2,0.6,+1.4,9,439,525,83.6,14,24,58.3,326,378,86.2,99,123,80.5,89,374,9,0,0,3,38,4,0,Matches
148,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,5.2,0,0.0,0.0,1,136,178,76.4,2,7,28.6,84,94,89.4,50,77,64.9,146,14,9,2,0,2,13,1,0,Matches
149,André Hahn\Andre-Hahn,de GER,MF,Augsburg,4.9,0,0.1,-0.1,3,59,112,52.7,2,15,13.3,47,73,64.4,10,24,41.7,16,74,0,0,1,2,5,4,2,Matches
150,Amadou Haidara\Amadou-Haidara,ml MLI,MF,RB Leipzig,4.5,0,0.6,-0.6,5,258,291,88.7,5,12,41.7,212,233,91.0,41,46,89.1,23,241,0,1,0,3,25,7,2,Matches
151,Achraf Hakimi\Achraf-Hakimi,ma MAR,DF,Dortmund,15.0,6,3.4,+2.6,22,963,1151,83.7,23,59,39.0,837,938,89.2,103,154,66.9,135,862,10,5,8,124,65,18,4,Matches
152,Marcel Halstenberg\Marcel-Halstenberg,de GER,DF,RB Leipzig,12.8,2,2.1,-0.1,19,669,812,82.4,9,26,34.6,558,627,89.0,102,159,64.2,581,79,13,1,25,108,33,13,4,Matches
153,Amine Harit\Amine-Harit,ma MAR,MF,Schalke 04,16.4,4,3.0,+1.0,29,484,586,82.6,18,38,47.4,381,447,85.2,85,101,84.2,49,504,8,5,1,7,48,22,2,Matches
154,Martin Harnik\Martin-Harnik,at AUT,FWMF,Werder Bremen,0.1,0,0.0,0.0,0,4,4,100.0,1,1,100.0,3,3,100.0,0,0,,1,0,0,0,0,0,0,0,0,Matches
155,Makoto Hasebe\Makoto-Hasebe,jp JPN,MF,Eint Frankfurt,13.0,0,0.7,-0.7,8,668,763,87.5,5,16,31.3,396,422,93.8,267,325,82.2,167,551,52,2,0,6,60,4,0,Matches
156,Kai Havertz\Kai-Havertz,de GER,MF,Bayer,13.0,1,2.3,-1.3,27,589,682,86.4,14,41,34.1,496,542,91.5,79,99,79.8,491,159,4,2,3,9,49,15,2,Matches
157,Thorgan Hazard\Thorgan-Hazard,be BEL,MF,Dortmund,13.0,7,2.8,+4.2,31,483,658,73.4,14,44,31.8,412,497,82.9,57,117,48.7,112,506,9,2,66,14,31,15,1,Matches
158,Jonas Hector\Jonas-Hector,de GER,DF,Köln,15.3,2,2.6,-0.6,20,604,758,79.7,5,19,26.3,411,483,85.1,188,256,73.4,469,169,34,4,6,47,49,20,4,Matches
159,Dominique Heintz\Dominique-Heintz,de GER,DF,Freiburg,14.0,1,0.1,+0.9,2,542,657,82.5,5,18,27.8,331,362,91.4,206,277,74.4,527,76,29,1,0,2,69,3,1,Matches
160,Rouwen Hennings\Rouwen-Hennings,de GER,FWMF,Düsseldorf,14.9,0,0.5,-0.5,12,234,330,70.9,8,19,42.1,184,248,74.2,42,63,66.7,208,62,0,0,0,0,14,8,3,Matches
161,Lucas Hernández\Lucas-Hernandez,fr FRA,DF,Bayern Munich,5.4,0,0.0,0.0,0,410,461,88.9,2,11,18.2,299,319,93.7,109,131,83.2,401,17,11,0,0,25,29,2,0,Matches
162,Patrick Herrmann\Patrick-Herrmann,de GER,FWMF,M'gladbach,8.8,3,2.8,+0.2,15,215,302,71.2,6,16,37.5,177,226,78.3,32,60,53.3,35,239,5,2,7,11,11,6,0,Matches
163,Martin Hinteregger\Martin-Hinteregger,at AUT,DFMF,Eint Frankfurt,15.0,1,0.6,+0.4,7,597,794,75.2,5,27,18.5,411,483,85.1,181,284,63.7,499,112,37,0,0,105,54,6,2,Matches
164,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,3.2,0,0.0,0.0,0,84,100,84.0,0,0,,44,44,100.0,40,56,71.4,4,80,3,0,0,0,0,0,0,Matches
165,André Hoffmann\Andre-Hoffmann,de GER,DFMF,Düsseldorf,12.0,1,0.3,+0.7,1,480,531,90.4,0,3,0.0,255,269,94.8,225,259,86.9,98,403,21,2,0,1,18,1,0,Matches
166,Nicolas Höfler\Nicolas-Hofler,de GER,MF,Freiburg,15.7,0,0.3,-0.3,11,557,680,81.9,19,35,54.3,419,482,86.9,119,163,73.0,210,411,18,0,0,1,60,4,0,Matches
167,Jonas Hofmann\Jonas-Hofmann,de GER,MF,M'gladbach,4.6,1,0.9,+0.1,8,199,247,80.6,4,8,50.0,144,167,86.2,51,72,70.8,45,182,17,0,11,6,14,3,1,Matches
168,Marco Höger\Marco-Hoger,de GER,DFMF,Köln,5.6,0,0.1,-0.1,5,270,323,83.6,2,7,28.6,180,212,84.9,88,104,84.6,59,237,13,0,0,3,34,1,0,Matches
169,Lucas Höler\Lucas-Holer,de GER,FW,Freiburg,13.7,2,1.2,+0.8,11,213,300,71.0,12,29,41.4,183,235,77.9,18,36,50.0,36,204,1,1,1,2,11,5,1,Matches
170,Gerrit Holtmann\Gerrit-Holtmann,de GER,MF,Paderborn 07,6.2,0,0.4,-0.4,3,156,210,74.3,4,13,30.8,139,169,82.2,13,28,46.4,171,17,0,1,0,16,7,9,3,Matches
171,Timo Horn\Timo-Horn,de GER,GK,Köln,17.0,0,0.0,0.0,0,379,531,71.4,1,1,100.0,157,157,100.0,221,373,59.2,301,138,40,0,0,0,20,0,0,Matches
172,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Bayer,17.0,0,0.0,0.0,0,561,752,74.6,1,1,100.0,258,260,99.2,302,491,61.5,178,446,34,0,0,0,7,0,0,Matches
173,Benjamin Hübner\Benjamin-Hubner,de GER,DF,Hoffenheim,9.6,1,0.3,+0.7,2,576,659,87.4,2,8,25.0,454,481,94.4,120,170,70.6,527,94,23,2,0,3,33,3,0,Matches
174,Florian Hübner\Florian-Hubner,de GER,DF,Union Berlin,4.2,0,0.1,-0.1,3,120,135,88.9,2,4,50.0,79,85,92.9,39,46,84.8,21,98,4,0,0,0,8,0,0,Matches
175,Mats Hummels\Mats-Hummels,de GER,DF,Dortmund,13.7,1,0.6,+0.4,4,921,1055,87.3,6,14,42.9,579,617,93.8,336,424,79.2,319,651,28,2,0,2,76,8,1,Matches
176,Uwe Hünemeier\Uwe-Hunemeier,de GER,DF,Paderborn 07,6.0,0,0.1,-0.1,4,277,316,87.7,2,4,50.0,170,186,91.4,105,126,83.3,80,205,11,0,0,0,31,0,0,Matches
177,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,6.0,0,0.0,0.0,0,202,254,79.5,0,1,0.0,121,121,100.0,81,132,61.4,20,185,17,0,0,0,5,0,0,Matches
178,Iago\Iago,br BRA,,Augsburg,4.3,0,0.1,-0.1,2,85,146,58.2,3,11,27.3,68,103,66.0,14,32,43.8,72,11,3,0,0,43,5,1,0,Matches
179,Vedad Ibišević\Vedad-Ibisevic,ba BIH,FW,Hertha BSC,7.5,1,0.7,+0.3,4,86,129,66.7,5,13,38.5,66,91,72.5,15,25,60.0,7,98,0,1,0,0,6,1,0,Matches
180,Luc Ihorst\Luc-Ihorst,de GER,FW,Werder Bremen,0.1,0,0.0,0.0,0,1,4,25.0,0,1,0.0,1,3,33.3,0,0,,2,2,0,0,0,0,0,0,0,Matches
181,Stefan Ilsanker\Stefan-Ilsanker,at AUT,MF,RB Leipzig,4.6,0,0.1,-0.1,1,326,360,90.6,0,1,0.0,232,243,95.5,94,116,81.0,37,296,7,0,0,1,25,4,0,Matches
182,Marcus Ingvartsen\Marcus-Ingvartsen,dk DEN,FW,Union Berlin,10.5,1,0.8,+0.2,3,174,268,64.9,6,14,42.9,141,202,69.8,27,52,51.9,156,65,1,0,0,2,10,4,2,Matches
183,Ismail Jakobs\Ismail-Jakobs,de GER,DF,Köln,6.0,0,0.1,-0.1,3,145,212,68.4,3,13,23.1,122,160,76.3,20,39,51.3,152,13,2,0,0,27,8,3,2,Matches
184,Laurent Jans\Laurent-Jans,lu LUX,DFMF,Paderborn 07,7.3,1,0.6,+0.4,4,285,383,74.4,0,15,0.0,215,256,84.0,70,112,62.5,47,249,7,1,0,63,19,2,0,Matches
185,Tony Jantschke\Tony-Jantschke,de GER,DFMF,M'gladbach,7.4,0,1.1,-1.1,7,366,435,84.1,2,13,15.4,249,275,90.5,115,147,78.2,59,333,7,2,0,23,32,6,1,Matches
186,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,14.3,0,0.2,-0.2,1,331,494,67.0,1,2,50.0,126,126,100.0,204,366,55.7,34,363,46,0,0,0,7,0,0,Matches
187,Tin Jedvaj\Tin-Jedvaj,hr CRO,DF,Augsburg,15.7,0,0.2,-0.2,3,434,558,77.8,9,23,39.1,266,302,88.1,159,233,68.2,68,434,52,3,0,5,28,4,0,Matches
188,Fredrik Jensen\Fredrik-Jensen,fi FIN,MF,Augsburg,3.6,0,0.1,-0.1,1,46,69,66.7,2,6,33.3,40,51,78.4,4,12,33.3,10,50,1,0,0,0,0,3,0,Matches
189,Fabian Johnson\Fabian-Johnson,us USA,DFMF,M'gladbach,2.0,0,0.0,0.0,0,37,50,74.0,1,5,20.0,32,39,82.1,4,6,66.7,17,31,0,0,0,0,4,0,0,Matches
190,Dejan Joveljić\Dejan-Joveljic,rs SRB,FW,Eint Frankfurt,1.6,0,0.0,0.0,0,22,28,78.6,2,3,66.7,16,20,80.0,4,5,80.0,3,19,0,0,0,0,0,0,0,Matches
191,Ozan Kabak\Ozan-Kabak,tr TUR,DF,Schalke 04,8.2,1,0.1,+0.9,1,400,468,85.5,3,4,75.0,259,279,92.8,138,185,74.6,61,371,10,1,0,1,29,0,0,Matches
192,Pavel Kadeřábek\Pavel-Kaderabek,cz CZE,DFMF,Hoffenheim,15.3,2,1.5,+0.5,14,498,693,71.9,4,35,11.4,427,515,82.9,67,143,46.9,55,458,6,0,1,96,35,12,8,Matches
193,Florian Kainz\Florian-Kainz,at AUT,MF,Köln,7.0,3,3.0,0.0,25,207,326,63.5,0,11,0.0,132,171,77.2,75,144,52.1,88,214,13,0,37,15,17,12,6,Matches
194,Salomon Kalou\Salomon-Kalou,ci CIV,FW,Hertha BSC,1.6,0,0.2,-0.2,1,29,44,65.9,2,4,50.0,22,30,73.3,5,10,50.0,7,31,0,0,0,1,4,2,0,Matches
195,Daichi Kamada\Daichi-Kamada,jp JPN,MF,Eint Frankfurt,11.9,2,1.1,+0.9,22,328,443,74.0,7,18,38.9,244,290,84.1,77,135,57.0,58,347,15,0,45,4,23,7,1,Matches
196,Kevin Kampl\Kevin-Kampl,si SVN,MF,RB Leipzig,2.2,0,0.4,-0.4,2,120,139,86.3,4,7,57.1,99,109,90.8,17,23,73.9,15,117,4,2,0,2,9,2,0,Matches
197,Kenan Karaman\Kenan-Karaman,tr TUR,FW,Düsseldorf,4.8,1,0.8,+0.2,10,81,111,73.0,3,6,50.0,72,90,80.0,6,15,40.0,23,76,0,0,0,0,8,4,0,Matches
198,Noah Katterbach\Noah-Katterbach,de GER,MF,Köln,7.0,0,0.3,-0.3,4,252,360,70.0,1,12,8.3,204,244,83.6,47,104,45.2,188,86,10,0,0,66,23,4,1,Matches
199,Jonjoe Kenny\Jonjoe-Kenny,eng ENG,DFFW,Schalke 04,16.9,2,1.0,+1.0,12,711,933,76.2,8,38,21.1,539,645,83.6,164,250,65.6,53,638,7,1,0,200,62,16,2,Matches
200,Rani Khedira\Rani-Khedira,de GER,MF,Augsburg,14.7,2,0.8,+1.2,6,326,442,73.8,6,18,33.3,249,305,81.6,71,119,59.7,53,337,6,2,0,1,32,3,0,Matches
201,Luca Kilian\Luca-Kilian,de GER,DF,Paderborn 07,12.0,0,0.1,-0.1,1,556,615,90.4,2,7,28.6,355,375,94.7,199,233,85.4,76,509,23,0,0,3,26,1,0,Matches
202,Joshua Kimmich\Joshua-Kimmich,de GER,MF,Bayern Munich,16.6,4,4.4,-0.4,48,1266,1481,85.5,12,30,40.0,897,955,93.9,357,496,72.0,223,1142,51,6,83,70,116,33,4,Matches
203,Davy Klaassen\Davy-Klaassen,nl NED,MF,Werder Bremen,17.0,3,1.5,+1.5,19,533,672,79.3,11,33,33.3,428,505,84.8,94,134,70.1,135,470,9,0,0,20,53,16,0,Matches
204,Felix Klaus\Felix-Klaus,de GER,FWMF,Wolfsburg,5.1,0,1.0,-1.0,6,100,148,67.6,2,12,16.7,88,119,73.9,10,17,58.8,9,102,0,0,0,5,8,2,0,Matches
205,Lukas Klostermann\Lukas-Klostermann,de GER,DF,RB Leipzig,15.2,1,1.6,-0.6,11,740,876,84.5,8,23,34.8,611,685,89.2,121,168,72.0,155,574,10,0,0,76,55,3,1,Matches
206,Lukas Klünter\Lukas-Klunter,de GER,MF,Hertha BSC,15.0,1,1.2,-0.2,11,416,589,70.6,5,25,20.0,318,395,80.5,93,169,55.0,70,338,18,2,0,132,27,8,4,Matches
207,Robin Knoche\Robin-Knoche,de GER,DF,Wolfsburg,10.2,0,0.1,-0.1,2,434,517,83.9,2,8,25.0,287,319,90.0,145,190,76.3,47,411,15,0,0,4,33,4,0,Matches
208,Robin Koch\Robin-Koch,de GER,DF,Freiburg,17.0,0,0.5,-0.5,5,680,772,88.1,3,7,42.9,361,406,88.9,316,359,88.0,112,596,21,3,0,1,38,4,2,Matches
209,Dominik Kohr\Dominik-Kohr,de GER,MF,Eint Frankfurt,7.3,1,0.4,+0.6,10,240,303,79.2,6,13,46.2,194,227,85.5,40,63,63.5,31,242,4,0,3,0,33,5,0,Matches
