Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
212,Filip Kostić\Filip-Kostic,rs SRB,MF,Eint Frankfurt,15.9,1,0,0,49,16,6,32.7,3.09,1.01,0.02,0.06,2.3,2.3,0.05,-1.3,-1.3,Matches
213,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
214,Dawid Kownacki\Dawid-Kownacki,pl POL,FWMF,Düsseldorf,10.5,0,0,0,22,10,0,45.5,2.09,0.95,0.00,0.00,1.6,1.6,0.07,-1.6,-1.6,Matches
215,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,2.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
216,Andrej Kramarić\Andrej-Kramaric,hr CRO,FW,Hoffenheim,7.5,5,0,0,18,9,1,50.0,2.40,1.20,0.28,0.56,3.4,3.4,0.19,+1.6,+1.6,Matches
217,Christoph Kramer\Christoph-Kramer,de GER,MF,M'gladbach,7.8,0,0,0,5,0,0,0.0,0.64,0.00,0.00,,0.3,0.3,0.06,-0.3,-0.3,Matches
218,Felix Kroos\Felix-Kroos,de GER,DFFW,Union Berlin,1.9,0,0,0,1,0,0,0.0,0.53,0.00,0.00,,0.0,0.0,0.05,0.0,0.0,Matches
219,Lukas Kübler\Lukas-Kubler,de GER,DF,Freiburg,1.0,0,0,0,1,0,0,0.0,1.05,0.00,0.00,,0.0,0.0,0.04,0.0,0.0,Matches
220,Pierre Kunde\Pierre-Kunde,cm CMR,,Mainz 05,13.4,2,0,0,27,6,2,22.2,2.01,0.45,0.07,0.33,1.8,1.8,0.07,+0.2,+0.2,Matches
221,Ahmed Kutucu\Ahmed-Kutucu,tr TUR,FW,Schalke 04,2.0,2,0,0,8,3,0,37.5,4.09,1.53,0.25,0.67,0.7,0.7,0.09,+1.3,+1.3,Matches
222,Konrad Laimer\Konrad-Laimer,at AUT,MF,RB Leipzig,12.8,2,0,0,6,4,0,66.7,0.47,0.31,0.33,0.50,0.5,0.5,0.09,+1.5,+1.5,Matches
223,Stefan Lainer\Stefan-Lainer,at AUT,DF,M'gladbach,14.1,1,0,0,9,3,0,33.3,0.64,0.21,0.11,0.33,0.8,0.8,0.08,+0.2,+0.2,Matches
224,Michael Lang\Michael-Lang,ch SUI,DF,Werder Bremen,5.9,0,0,0,5,2,0,40.0,0.84,0.34,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
225,Sebastian Langkamp\Sebastian-Langkamp,de GER,DF,Werder Bremen,2.0,0,0,0,4,1,0,25.0,2.01,0.50,0.00,0.00,0.4,0.4,0.10,-0.4,-0.4,Matches
226,Danny Latza\Danny-Latza,de GER,MF,Mainz 05,6.0,0,0,0,9,3,0,33.3,1.49,0.50,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
227,Mathew Leckie\Mathew-Leckie,au AUS,FWMF,Hertha BSC,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
228,Christopher Lenz\Christopher-Lenz,de GER,DF,Union Berlin,15.5,0,0,0,9,1,0,11.1,0.58,0.06,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
229,Robert Lewandowski\Robert-Lewandowski,pl POL,FW,Bayern Munich,16.7,19,2,2,77,33,2,42.9,4.62,1.98,0.22,0.52,15.8,14.3,0.19,+3.2,+2.7,Matches
230,Stephan Lichtsteiner\Stephan-Lichtsteiner,ch SUI,DFMF,Augsburg,11.3,0,0,0,1,0,0,0.0,0.09,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
231,Philipp Lienhart\Philipp-Lienhart,at AUT,DF,Freiburg,11.0,0,0,0,3,2,0,66.7,0.27,0.18,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
232,Jürgen Locadia\Jurgen-Locadia,nl NED,FW,Hoffenheim,5.8,4,1,1,18,10,0,55.6,3.12,1.73,0.17,0.30,3.2,2.4,0.13,+0.8,+0.6,Matches
233,Ademola Lookman\Ademola-Lookman,eng ENG,FW,RB Leipzig,1.5,0,0,0,1,0,0,0.0,0.68,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
234,Eduard Löwen\Eduard-Lowen,de GER,DF,Hertha BSC,3.4,0,0,0,5,0,2,0.0,1.45,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
235,Dodi Lukebakio\Dodi-Lukebakio,cd COD,MF,Hertha BSC,11.8,4,0,0,22,10,2,45.5,1.86,0.85,0.18,0.40,2.3,2.3,0.10,+1.7,+1.7,Matches
236,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,0.2,0,0,0,1,0,0,0.0,4.50,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
237,Streli Mamba\Streli-Mamba,de GER,FW,Paderborn 07,10.4,5,0,0,19,7,0,36.8,1.83,0.67,0.26,0.71,3.6,3.6,0.19,+1.4,+1.4,Matches
238,Aarón Martín\Aaron-Martin,es ESP,DF,Mainz 05,14.7,0,0,0,8,3,1,37.5,0.54,0.20,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2,Matches
239,Javi Martínez\Javi-Martinez,es ESP,DFMF,Bayern Munich,6.2,0,0,0,1,0,0,0.0,0.16,0.00,0.00,,0.1,0.1,0.15,-0.1,-0.1,Matches
240,Omar Mascarell\Omar-Mascarell,es ESP,MF,Schalke 04,16.5,0,0,0,8,2,0,25.0,0.48,0.12,0.00,0.00,0.4,0.4,0.04,-0.4,-0.4,Matches
241,Jean-Philippe Mateta\Jean-Philippe-Mateta,fr FRA,FW,Mainz 05,0.6,1,0,0,4,3,0,75.0,6.43,4.82,0.25,0.33,0.8,0.8,0.19,+0.2,+0.2,Matches
242,Rabbi Matondo\Rabbi-Matondo,wal WAL,FW,Schalke 04,4.7,1,0,0,11,3,0,27.3,2.34,0.64,0.09,0.33,1.1,1.1,0.10,-0.1,-0.1,Matches
243,Philipp Max\Philipp-Max,de GER,DF,Augsburg,14.8,6,1,1,17,7,4,41.2,1.15,0.47,0.29,0.71,2.6,1.8,0.11,+3.4,+3.2,Matches
244,Alexandru Maxim\Alexandru-Maxim,ro ROU,MF,Mainz 05,1.2,0,0,0,3,0,0,0.0,2.41,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
245,Kevin Mbabu\Kevin-Mbabu,ch SUI,DF,Wolfsburg,4.1,1,0,0,3,1,0,33.3,0.73,0.24,0.33,1.00,0.4,0.4,0.13,+0.6,+0.6,Matches
246,Weston McKennie\Weston-McKennie,us USA,MF,Schalke 04,9.9,0,0,0,8,1,0,12.5,0.81,0.10,0.00,0.00,1.1,1.1,0.13,-1.1,-1.1,Matches
247,Joshua Mees\Joshua-Mees,de GER,FW,Union Berlin,1.7,0,0,0,5,1,0,20.0,2.90,0.58,0.00,0.00,0.3,0.3,0.06,-0.3,-0.3,Matches
248,Admir Mehmedi\Admir-Mehmedi,ch SUI,FWMF,Wolfsburg,5.9,1,0,0,6,1,0,16.7,1.02,0.17,0.17,1.00,0.3,0.3,0.05,+0.7,+0.7,Matches
249,Münir Mercan\Munir-Mercan,de GER,MF,Schalke 04,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
250,Jorge Meré\Jorge-Mere,es ESP,DF,Köln,3.2,0,0,0,1,0,0,0.0,0.31,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
251,Sven Michel\Sven-Michel,de GER,FW,Paderborn 07,9.0,2,0,0,25,9,0,36.0,2.79,1.00,0.08,0.22,2.7,2.7,0.11,-0.7,-0.7,Matches
252,Juan Miranda\Juan-Miranda,es ESP,,Schalke 04,2.9,0,0,0,3,1,0,33.3,1.05,0.35,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
253,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,10.2,1,0,0,9,2,0,22.2,0.88,0.20,0.11,0.50,0.3,0.3,0.04,+0.7,+0.7,Matches
254,Anthony Modeste\Anthony-Modeste,fr FRA,FW,Köln,7.3,1,0,0,11,2,0,18.2,1.50,0.27,0.09,0.50,0.8,0.8,0.07,+0.2,+0.2,Matches
255,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,0.8,0,0,0,5,1,0,20.0,6.16,1.23,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
256,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,6.0,0,0,0,7,2,0,28.6,1.17,0.33,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
257,Alfredo Morales\Alfredo-Morales,us USA,DFMF,Düsseldorf,10.4,1,0,0,14,3,1,21.4,1.35,0.29,0.07,0.33,0.8,0.8,0.05,+0.2,+0.2,Matches
258,Jan Morávek\Jan-Moravek,cz CZE,FWMF,Augsburg,5.0,0,0,0,2,0,0,0.0,0.40,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
259,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,8.3,2,0,0,11,5,0,45.5,1.33,0.60,0.18,0.40,0.8,0.8,0.07,+1.2,+1.2,Matches
260,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
261,Thomas Müller\Thomas-Muller,de GER,FWMF,Bayern Munich,10.7,2,0,0,25,7,0,28.0,2.34,0.65,0.08,0.29,3.9,3.9,0.16,-1.9,-1.9,Matches
262,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
263,Obite N'Dicka\Obite-NDicka,fr FRA,,Eint Frankfurt,7.0,0,0,0,2,1,0,50.0,0.29,0.14,0.00,0.00,0.2,0.2,0.09,-0.2,-0.2,Matches
264,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,4.2,0,0,0,6,1,0,16.7,1.44,0.24,0.00,0.00,0.7,0.7,0.12,-0.7,-0.7,Matches
265,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
266,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'gladbach,11.7,1,0,0,18,7,1,38.9,1.54,0.60,0.06,0.14,3.3,3.3,0.18,-2.3,-2.3,Matches
267,Moussa Niakhate\Moussa-Niakhate,fr FRA,DFFW,Mainz 05,16.0,0,0,0,8,3,0,37.5,0.50,0.19,0.00,0.00,0.8,0.8,0.10,-0.8,-0.8,Matches
268,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,16.2,8,1,1,42,22,0,52.4,2.60,1.36,0.17,0.32,6.8,6.1,0.14,+1.2,+0.9,Matches
269,Christopher Nkunku\Christopher-Nkunku,fr FRA,MF,RB Leipzig,9.5,3,0,0,25,12,0,48.0,2.63,1.26,0.12,0.25,4.4,4.4,0.17,-1.4,-1.4,Matches
270,Lukas Nmecha\Lukas-Nmecha,de GER,FW,Wolfsburg,1.4,0,0,0,3,0,0,0.0,2.13,0.00,0.00,,0.3,0.3,0.12,-0.3,-0.3,Matches
271,Håvard Nordtveit\Havard-Nordtveit,no NOR,DFMF,Hoffenheim,1.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
272,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,14.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
273,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Düsseldorf,10.1,1,0,0,6,3,0,50.0,0.60,0.30,0.17,0.33,0.9,0.9,0.15,+0.1,+0.1,Matches
274,Bastian Oczipka\Bastian-Oczipka,de GER,DFMF,Schalke 04,17.0,0,0,0,6,2,0,33.3,0.35,0.12,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1,Matches
275,Cauly Oliveira Souza\Cauly-Oliveira-Souza,br BRA,MF,Paderborn 07,8.0,2,0,0,14,8,1,57.1,1.76,1.00,0.14,0.25,1.6,1.6,0.12,+0.4,+0.4,Matches
276,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,8.5,3,0,0,20,11,0,55.0,2.35,1.29,0.15,0.27,2.2,2.2,0.11,+0.8,+0.8,Matches
277,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,9.0,1,0,0,7,3,1,42.9,0.78,0.33,0.14,0.33,0.7,0.7,0.09,+0.3,+0.3,Matches
278,Yuya Osako\Yuya-Osako,jp JPN,FW,Werder Bremen,10.5,4,0,0,26,11,0,42.3,2.47,1.04,0.15,0.36,3.6,3.6,0.14,+0.4,+0.4,Matches
279,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
280,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,3.5,0,0,0,2,0,0,0.0,0.57,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
281,Levin Öztunalı\Levin-Oztunali,de GER,MF,Mainz 05,10.7,3,0,0,21,6,0,28.6,1.96,0.56,0.14,0.50,0.9,0.9,0.04,+2.1,+2.1,Matches
282,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Eint Frankfurt,12.1,7,1,1,39,13,1,33.3,3.23,1.08,0.15,0.46,5.8,5.1,0.13,+1.2,+0.9,Matches
283,Michael Parensen\Michael-Parensen,de GER,DFMF,Union Berlin,4.6,1,0,0,3,2,0,66.7,0.65,0.43,0.33,0.50,0.7,0.7,0.24,+0.3,+0.3,Matches
284,Paulinho\Paulinho,br BRA,FW,Bayer,0.9,1,0,0,3,2,0,66.7,3.42,2.28,0.33,0.50,0.6,0.6,0.20,+0.4,+0.4,Matches
285,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,16.0,2,0,0,5,3,0,60.0,0.31,0.19,0.40,0.67,0.3,0.3,0.06,+1.7,+1.7,Matches
286,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
287,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,1.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
288,Ivan Perišić\Ivan-Perisic,hr CRO,MF,Bayern Munich,7.8,3,0,0,23,6,0,26.1,2.95,0.77,0.13,0.50,2.1,2.1,0.09,+0.9,+0.9,Matches
289,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,8.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
290,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,15.3,7,1,1,31,12,0,38.7,2.02,0.78,0.19,0.50,4.8,4.1,0.13,+2.2,+1.9,Matches
291,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Mainz 05,2.7,0,0,0,1,0,0,0.0,0.37,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
292,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DFMF,Dortmund,8.6,0,0,0,4,1,0,25.0,0.47,0.12,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
293,Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,2.0,0,0,0,4,0,0,0.0,2.01,0.00,0.00,,0.4,0.4,0.10,-0.4,-0.4,Matches
294,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,8.0,0,0,0,3,0,2,0.0,0.37,0.00,0.00,,0.3,0.3,0.10,-0.3,-0.3,Matches
295,Alassane Pléa\Alassane-Plea,fr FRA,MF,M'gladbach,13.0,5,0,0,38,16,2,42.1,2.93,1.23,0.13,0.31,6.3,6.3,0.17,-1.3,-1.3,Matches
296,Thomas Pledl\Thomas-Pledl,de GER,MF,Düsseldorf,0.6,0,0,0,1,0,0,0.0,1.70,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
297,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Bayer,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
298,Sebastian Polter\Sebastian-Polter,de GER,FW,Union Berlin,2.9,2,2,2,5,0,0,0.0,1.74,0.00,0.00,,1.9,0.4,0.09,+0.1,-0.4,Matches
299,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,12.1,0,0,0,12,3,0,25.0,0.99,0.25,0.00,0.00,1.4,1.4,0.12,-1.4,-1.4,Matches
300,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,9.2,3,0,0,17,7,0,41.2,1.84,0.76,0.18,0.43,3.3,3.3,0.19,-0.3,-0.3,Matches
301,Kai Pröger\Kai-Proger,de GER,,Paderborn 07,11.4,2,0,0,23,6,1,26.1,2.01,0.52,0.09,0.33,1.5,1.5,0.07,+0.5,+0.5,Matches
302,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,2.0,0,0,0,2,0,0,0.0,1.00,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
303,Robin Quaison\Robin-Quaison,se SWE,MF,Mainz 05,14.1,7,0,0,39,14,1,35.9,2.77,0.99,0.18,0.50,6.3,6.3,0.16,+0.7,+0.7,Matches
304,Raffael\Raffael,br BRA,FWMF,M'gladbach,0.5,0,0,0,6,2,1,33.3,11.25,3.75,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
305,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,8.6,4,0,0,17,9,0,52.9,1.97,1.04,0.24,0.44,3.3,3.3,0.19,+0.7,+0.7,Matches
306,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,12.3,7,2,2,42,17,2,40.5,3.41,1.38,0.12,0.29,4.3,2.9,0.07,+2.7,+2.1,Matches
307,Ante Rebić\Ante-Rebic,hr CRO,FWMF,Eint Frankfurt,1.0,0,0,0,2,1,1,50.0,2.00,1.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
308,Daishawn Redan\Daishawn-Redan,nl NED,FW,Hertha BSC,0.2,0,0,0,1,0,0,0.0,4.50,0.00,0.00,,0.2,0.2,0.25,-0.2,-0.2,Matches
309,Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,1.0,0,0,0,3,1,0,33.3,3.14,1.05,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1,Matches
310,Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,1.5,0,0,0,1,0,0,0.0,0.69,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
311,Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,11.0,1,0,0,4,2,0,50.0,0.36,0.18,0.25,0.50,0.5,0.5,0.14,+0.5,+0.5,Matches
312,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Bayer,1.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
313,Marco Reus\Marco-Reus,de GER,FWMF,Dortmund,14.1,9,0,0,39,18,2,46.2,2.76,1.27,0.23,0.50,6.6,6.6,0.17,+2.4,+2.4,Matches
314,Marco Richter\Marco-Richter,de GER,FW,Augsburg,10.5,3,0,0,26,10,3,38.5,2.48,0.95,0.12,0.30,3.3,3.3,0.13,-0.3,-0.3,Matches
315,Marcel Risse\Marcel-Risse,de GER,FWMF,Köln,1.3,0,0,0,1,0,1,0.0,0.78,0.00,0.00,,0.1,0.1,0.12,-0.1,-0.1,Matches
316,Marlon Ritter\Marlon-Ritter,de GER,FW,Paderborn 07,0.6,0,0,0,5,2,1,40.0,8.18,3.27,0.00,0.00,0.2,0.2,0.05,-0.2,-0.2,Matches
317,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,8.5,2,0,0,8,4,0,50.0,0.94,0.47,0.25,0.50,0.7,0.7,0.09,+1.3,+1.3,Matches
